parameter,value
muH,1.63029076879588
muB,0.6604267246906801
k,4473971.377715952
phi,9.604371353270233e-09
beta,54.341991676022815
H0,510440.36663059075
B0,240324.81393766653
P0,55929372.12336524
sigma_host,1.379197601145734
sigma_bacteria,2.0414749773275203
