,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
muH,0.7155653771,0.2169495813,0.3857301331,1.1024122782,0.0071905563,0.0057026378,737.9219374284,1498.336049617,1.003547636
muB,0.6528673879,0.154859576,0.3596883425,0.9375806402,0.0029713477,0.0015722364,2704.0537613096,4940.775932811,1.0009419258
k,8287502.587898632,3459769.8570985063,3145258.7964844164,14801154.178758172,104269.3307116672,68709.9855403835,864.5315594759,2856.2759826215,1.0069756318
phi,5.4e-09,2.8e-09,1.7e-09,1.05e-08,2e-10,0.0,128.3405203899,464.3216832722,1.0179417367
beta,44.0505749026,22.6923093724,8.6334572438,87.8696772321,2.0327753174,0.7298345461,130.6931351908,409.8200404172,1.0191959615
H0,512227.6772162792,440580.5734337049,200170.482550504,903638.6645776962,8293.2110264662,38938.2368469103,1851.19212858,3716.0521590873,1.001941721
B0,568912.7555771841,879501.9791355968,20550.3163934079,1781972.1787298582,14889.1202067795,30214.5210879646,2742.1636905264,5264.2261155215,1.0008929936
P0,8661646.972939076,11785693.7894847,200037.8861843508,33660041.56113486,397888.5989739325,329556.2452945827,639.4771223745,2226.7957432476,1.0025350094
sigma_host,0.6392054949,0.2118529365,0.328629059,1.0344610379,0.0053343103,0.0037129758,1511.338526088,4047.512174794,1.0013920835
sigma_bacteria,1.8394134253,0.3599497566,1.2412364998,2.5305255983,0.0043538433,0.0031241397,7106.5812840353,10679.4488101322,1.0005311684
