parameter,value
muH,0.8163715602242841
muB,0.7864924333626289
k,9702290.541586805
phi,8.23000659993036e-09
beta,45.14391547645324
H0,312608.6462000278
B0,129170.26768189362
P0,8574625.016254393
sigma_host,0.8657141508602719
sigma_bacteria,1.9964435514287675
