,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
muH,0.9942152426,0.3550297635,0.3986579229,1.6041115654,0.0115202823,0.0076854228,792.6917033894,1472.2579079183,1.0061350516
muB,0.6374157921,0.1658810838,0.3316122251,0.9500731961,0.0032826252,0.0017265947,2556.8519078071,5152.4685751916,1.0012881849
k,6882899.448437882,3108006.93508219,2268767.4780857093,12386194.86349947,98909.582066322,77357.4468092516,812.5085576326,1164.5792509175,1.0085324116
phi,6.7e-09,2.7e-09,2.6e-09,1.19e-08,2e-10,0.0,291.2376367684,423.6009500744,1.0129509055
beta,61.2250174621,21.8569589754,27.6247728383,99.9430530225,1.5951438728,0.6228533808,189.2953178289,217.8812635256,1.01926324
H0,731228.024666276,868970.0253186633,200187.8737965428,1837202.1267384016,25601.9771627695,53713.6317835956,1140.1611787843,1690.1504878907,1.0051517863
B0,863357.2678787663,1229105.8844478128,21517.5095017368,2903623.4861865714,22314.4025490122,34038.6786420449,2580.0736292954,4853.7360403197,1.0012939958
P0,15507162.427182304,14011980.036911273,202933.97964858,44202146.051215775,409187.328256071,203411.8358662075,969.434453653,2366.5266477126,1.00482336
sigma_host,1.0874592647,0.2823552018,0.6313845121,1.6162385706,0.0054017644,0.0038837047,2989.2083301353,5141.0652022102,1.0021591516
sigma_bacteria,2.0005071978,0.3678807651,1.3776019232,2.7063547321,0.0042749517,0.0028567844,7644.0815274584,10978.5066377853,1.0005344532
