parameter,value
muH,0.5173528861836071
muB,0.8200764639619904
k,6972424.632983876
phi,4.205471818228304e-09
beta,73.27697279236398
H0,495113.0792160088
B0,84108.22953744617
P0,246813.0893655876
sigma_host,0.4052361618522573
sigma_bacteria,1.7810543027918397
