parameter,value
muH,0.46299823628462455
muB,0.8697179545642119
k,13251238.107851392
phi,4.078257445685624e-09
beta,63.03483161884786
H0,471082.9810228105
B0,77650.93822221154
P0,217602.8535170886
sigma_host,0.4481979173089069
sigma_bacteria,1.563360543853396
