,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
muH,0.7233499194,0.1275156719,0.5054583961,0.9733107398,0.0038314913,0.0029673736,1148.8625673322,1462.6677512329,1.0063720374
muB,0.3781378905,0.0441483277,0.2928367591,0.4524781527,0.0011377487,0.0013184016,1785.6654839356,2076.1069131322,1.0008639191
k,5045957.288516831,731114.7781967641,4043364.7480612407,6133070.534439538,16545.0505378214,60730.7956461537,3020.8561152119,2806.0290730634,1.0022672655
H0,405113.746205804,139114.2820618287,201083.5989591997,615334.7134557344,4146.9310545425,7954.4727988517,1201.9154597033,1459.2778846876,1.0057006505
B0,28364.301758872,11020.6003749868,20000.311905882,43039.1266198786,301.230514487,1081.525748791,1612.483206076,2062.3460224067,1.0008250554
sigma_host,0.2182143722,0.0682789952,0.1213268477,0.345619327,0.0014427383,0.0018802682,2611.5983349055,3011.5464932994,1.0018646398
sigma_bacteria,0.5920624217,0.1660705288,0.3378769341,0.8933845559,0.0031535975,0.0039630104,3031.7282175846,4173.5497445444,1.000593023
