,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
muH,0.8706458625,0.0671068882,0.7603844009,0.9984762557,0.0020471485,0.0011846374,1084.6058813743,1575.3594465087,1.0035844018
muB,0.3340831081,0.0704727548,0.2082508581,0.4609791688,0.0023727063,0.0023739583,990.8208921866,1257.4470060974,1.0046664871
k,5406050.844353669,249692.6526039912,4941443.44992133,5868450.46838712,3978.607342933,3907.1948897474,4080.7598489582,5069.2334286612,1.0011399028
H0,309362.8467649617,45683.2186934449,228557.4615046686,391599.5266522364,1370.6845870763,1033.4100496608,1099.399937464,1734.5138246894,1.0037263801
B0,50377.6181870458,38132.3839966838,20005.6275758605,95343.438706826,1351.705857873,4406.5666259014,955.318752947,1205.0154519304,1.0049702759
sigma_host,0.1035518637,0.0327623303,0.0561267311,0.1601442105,0.0005691983,0.0009679196,3687.7281427427,5073.4980752625,1.0006759964
sigma_bacteria,0.7365490289,0.2001977762,0.4315747783,1.1240792316,0.0042720622,0.0045626172,2751.2480104577,2714.9482650355,1.001167028
