,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
muH,0.8388973325,0.1114192255,0.6578975838,0.9995714846,0.0039233695,0.0053550823,1179.0076761651,1180.1378004924,1.0011179982
muB,0.3643795666,0.0590215045,0.2449197628,0.4611419686,0.0015052203,0.0013562575,1737.6167431021,2060.5704561664,1.0023264734
k,5043286.036520656,716577.1625546438,4109124.225194171,5970465.345175256,24098.8443715684,159246.4886239495,3232.3480278979,2387.3487476759,1.0010830649
H0,305420.3340435243,109272.5249218858,200233.13547052,452765.8829425752,4059.8749543263,14809.6969323664,1313.1958874058,1267.6586838242,1.0020328212
B0,32744.229617163,18028.3207851084,20001.853208599,58921.844151261,466.1902846177,1545.8313902764,1660.5844469835,1662.5924268448,1.0020039338
sigma_host,0.2151540283,0.0719597844,0.1112794241,0.3387298109,0.0017885999,0.0031808388,2255.3592846383,2158.8568450448,1.0010508728
sigma_bacteria,0.7746737824,0.2110309314,0.4460014286,1.1772691609,0.0039478631,0.0034354993,3077.0028180526,4422.8068570104,1.001665254
