,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
muH,0.8365015149,0.0916008596,0.6854317364,0.9995789924,0.0030435197,0.0035255073,1079.5487016656,1118.8705160512,1.0068355228
muB,0.2900208424,0.0756568795,0.1457196416,0.4240787886,0.0024392342,0.0015154374,1009.3466674639,1756.5553437277,1.0014392276
k,5572507.8594168,473467.7874781045,4751409.735115398,6387354.665017334,9998.6543966367,25106.5260707186,3700.3357002753,3087.8498042379,1.0032605992
H0,280964.4378549604,69053.3325842028,200086.9755454606,387187.4482701404,2465.565159098,5297.2983963905,1095.6918628849,1112.1135325893,1.0072958592
B0,50309.8405030171,34841.3906496651,20001.4534146254,106377.0993618529,1066.0208630672,1914.727665953,1010.7830297949,1753.4241840189,1.0012536762
sigma_host,0.1664163695,0.0547495108,0.0899593232,0.2651260488,0.0013172221,0.0020574595,2348.9132810598,2144.8532875918,1.0027050534
sigma_bacteria,0.8299148248,0.2160637157,0.4903875017,1.2341712719,0.003910264,0.0031777915,3294.5172533082,5037.4461986488,1.001099739
