,time,name,treatment_conc,treatment,d7,host,replicate,r,cell_dmsp
88,1,sytox,none,none,False,ehux379,r1,8.674854557207498,6.939883645765999
89,2,sytox,none,none,False,ehux379,r1,11.07533805537669,8.860270444301353
90,3,sytox,none,none,False,ehux379,r1,14.281002638522427,11.424802110817943
91,4,sytox,none,none,False,ehux379,r1,10.787562414888788,8.63004993191103
92,5,sytox,none,none,False,ehux379,r1,14.269073966220153,11.415259172976123
93,6,sytox,none,none,False,ehux379,r1,27.344110167601087,21.875288134080872
94,7,sytox,none,none,False,ehux379,r1,30.584533042594842,24.467626434075875
95,8,sytox,none,none,False,ehux379,r1,31.199655807060733,24.95972464564859
96,9,sytox,none,none,False,ehux379,r1,38.43812601684504,30.750500813476034
97,10,sytox,none,none,False,ehux379,r1,44.67174061011076,35.73739248808861
98,11,sytox,none,none,False,ehux379,r1,47.27617716083288,37.820941728666305
132,1,sytox,none,none,True,ehux379,r1,10.362966859547607,8.290373487638085
133,2,sytox,none,none,True,ehux379,r1,12.674027844455113,10.13922227556409
134,3,sytox,none,none,True,ehux379,r1,13.504755491961957,10.803804393569566
135,4,sytox,none,none,True,ehux379,r1,10.195392511104462,8.15631400888357
136,5,sytox,none,none,True,ehux379,r1,13.012514127755765,10.410011302204612
137,6,sytox,none,none,True,ehux379,r1,26.776239161382165,21.420991329105732
138,7,sytox,none,none,True,ehux379,r1,36.55233180187551,29.24186544150041
139,8,sytox,none,none,True,ehux379,r1,47.77875660709791,38.22300528567833
140,9,sytox,none,none,True,ehux379,r1,72.21524407650584,57.77219526120467
141,10,sytox,none,none,True,ehux379,r1,81.60567440946171,65.28453952756938
142,11,sytox,none,none,True,ehux379,r1,96.48016130193706,77.18412904154965
768,1,sytox,none,none,False,ehux379,r2,9.323367427222658,7.458693941778127
769,2,sytox,none,none,False,ehux379,r2,11.876635778453704,9.501308622762963
770,3,sytox,none,none,False,ehux379,r2,12.436654600876357,9.949323680701086
771,4,sytox,none,none,False,ehux379,r2,10.98930070083705,8.79144056066964
772,5,sytox,none,none,False,ehux379,r2,13.69574797776609,10.956598382212873
773,6,sytox,none,none,False,ehux379,r2,24.5708363813704,19.65666910509632
774,7,sytox,none,none,False,ehux379,r2,28.944342362634107,23.155473890107288
775,8,sytox,none,none,False,ehux379,r2,33.33673342173563,26.669386737388507
776,9,sytox,none,none,False,ehux379,r2,41.946328041353425,33.55706243308274
777,10,sytox,none,none,False,ehux379,r2,46.66130329847144,37.32904263877715
778,11,sytox,none,none,False,ehux379,r2,49.36242670059405,39.48994136047524
812,1,sytox,none,none,True,ehux379,r2,10.669619593538302,8.535695674830642
813,2,sytox,none,none,True,ehux379,r2,13.240661644793041,10.592529315834433
814,3,sytox,none,none,True,ehux379,r2,14.678412659570128,11.742730127656102
815,4,sytox,none,none,True,ehux379,r2,9.628572097268705,7.702857677814965
816,5,sytox,none,none,True,ehux379,r2,11.884002251850225,9.50720180148018
817,6,sytox,none,none,True,ehux379,r2,29.588261604214296,23.670609283371437
818,7,sytox,none,none,True,ehux379,r2,40.68278450393387,32.546227603147095
819,8,sytox,none,none,True,ehux379,r2,47.2106545140253,37.76852361122024
820,9,sytox,none,none,True,ehux379,r2,69.20587215350827,55.36469772280662
821,10,sytox,none,none,True,ehux379,r2,82.17905405405406,65.74324324324326
822,11,sytox,none,none,True,ehux379,r2,97.56631240510852,78.05304992408682
1448,1,sytox,none,none,False,ehux379,r3,10.558205491813846,8.446564393451077
1449,2,sytox,none,none,False,ehux379,r3,11.441415313225058,9.153132250580047
1450,3,sytox,none,none,False,ehux379,r3,14.48786797851907,11.590294382815257
1451,4,sytox,none,none,False,ehux379,r3,10.142594817619187,8.11407585409535
1452,5,sytox,none,none,False,ehux379,r3,13.130094458994204,10.504075567195365
1453,6,sytox,none,none,False,ehux379,r3,25.36077031375704,20.288616251005635
1454,7,sytox,none,none,False,ehux379,r3,29.679255844975643,23.743404675980514
1455,8,sytox,none,none,False,ehux379,r3,34.541687038718536,27.63334963097483
1456,9,sytox,none,none,False,ehux379,r3,39.841536725245874,31.8732293801967
1457,10,sytox,none,none,False,ehux379,r3,49.012267194085375,39.2098137552683
1458,11,sytox,none,none,False,ehux379,r3,53.51647237709073,42.81317790167259
1492,1,sytox,none,none,True,ehux379,r3,10.270347589758261,8.21627807180661
1493,2,sytox,none,none,True,ehux379,r3,13.394455984528328,10.715564787622663
1494,3,sytox,none,none,True,ehux379,r3,14.034149351985189,11.227319481588152
1495,4,sytox,none,none,True,ehux379,r3,10.047986366490267,8.038389093192214
1496,5,sytox,none,none,True,ehux379,r3,12.104447257263947,9.683557805811159
1497,6,sytox,none,none,True,ehux379,r3,25.87638540763355,20.70110832610684
1498,7,sytox,none,none,True,ehux379,r3,38.16519353855532,30.53215483084426
1499,8,sytox,none,none,True,ehux379,r3,50.034770040496866,40.027816032397496
1500,9,sytox,none,none,True,ehux379,r3,76.20976469496922,60.96781175597538
1501,10,sytox,none,none,True,ehux379,r3,83.66871777814735,66.93497422251788
1502,11,sytox,none,none,True,ehux379,r3,97.0195183264227,77.61561466113817
