,time,name,treatment_conc,treatment,d7,host,replicate,r,cell_dmsp
0,1,ehux379,none,none,False,ehux379,r1,689166.8854844372,551333.5083875498
1,2,ehux379,none,none,False,ehux379,r1,1327860.9772754614,1062288.7818203692
2,3,ehux379,none,none,False,ehux379,r1,2374570.534285524,1899656.4274284192
3,4,ehux379,none,none,False,ehux379,r1,3651775.6304691,2921420.5043752803
4,5,ehux379,none,none,False,ehux379,r1,4962709.188298795,3970167.3506390364
5,6,ehux379,none,none,False,ehux379,r1,4887506.552699744,3910005.242159795
6,7,ehux379,none,none,False,ehux379,r1,5294689.103334862,4235751.282667889
7,8,ehux379,none,none,False,ehux379,r1,5383494.914994435,4306795.931995548
8,9,ehux379,none,none,False,ehux379,r1,5258715.042473085,4206972.033978469
9,10,ehux379,none,none,False,ehux379,r1,4844559.637886209,3875647.7103089676
10,11,ehux379,none,none,False,ehux379,r1,4689203.50769965,3751362.80615972
44,1,ehux379,none,none,True,ehux379,r1,717460.5399420192,573968.4319536154
45,2,ehux379,none,none,True,ehux379,r1,1175993.8552788387,940795.084223071
46,3,ehux379,none,none,True,ehux379,r1,1945851.5865331208,1556681.2692264968
47,4,ehux379,none,none,True,ehux379,r1,3599374.2343828175,2879499.387506254
48,5,ehux379,none,none,True,ehux379,r1,5248682.852534671,4198946.282027737
49,6,ehux379,none,none,True,ehux379,r1,5772078.483893025,4617662.78711442
50,7,ehux379,none,none,True,ehux379,r1,5026789.447998026,4021431.5583984214
51,8,ehux379,none,none,True,ehux379,r1,4193500.5640048143,3354800.4512038515
52,9,ehux379,none,none,True,ehux379,r1,2363275.1053757295,1890620.0843005837
53,10,ehux379,none,none,True,ehux379,r1,1946647.656436326,1557318.125149061
54,11,ehux379,none,none,True,ehux379,r1,20405.574787808666,16324.459830246933
472,1,ehux379,none,none,False,ehux379,r1,951567.8265808064,761254.2612646451
473,2,ehux379,none,none,False,ehux379,r1,1665122.3979680233,1332097.9183744187
474,3,ehux379,none,none,False,ehux379,r1,2879988.868575682,2303991.094860546
475,4,ehux379,none,none,False,ehux379,r1,4007314.819155002,3205851.855324002
476,5,ehux379,none,none,False,ehux379,r1,5146997.212220724,4117597.769776579
477,6,ehux379,none,none,False,ehux379,r1,5823751.540971618,4659001.232777295
478,7,ehux379,none,none,False,ehux379,r1,5450134.321376336,4360107.457101068
479,8,ehux379,none,none,False,ehux379,r1,4815395.7579165995,3852316.60633328
480,9,ehux379,none,none,False,ehux379,r1,4819178.153360873,3855342.522688699
481,10,ehux379,none,none,False,ehux379,r1,5346076.06426511,4276860.851412088
482,11,ehux379,none,none,False,ehux379,r1,5739793.664386617,4591834.931509294
483,12,ehux379,none,none,False,ehux379,r1,6042091.316579651,4833673.053263721
484,13,ehux379,none,none,False,ehux379,r1,5424118.811144374,4339295.0489155
524,1,ehux379,none,none,True,ehux379,r1,1022387.6106347508,817910.0885078007
525,2,ehux379,none,none,True,ehux379,r1,1835720.5907939775,1468576.472635182
526,3,ehux379,none,none,True,ehux379,r1,2888197.4364531725,2310557.949162538
527,4,ehux379,none,none,True,ehux379,r1,4100529.594264846,3280423.6754118768
528,5,ehux379,none,none,True,ehux379,r1,5118588.617926482,4094870.8943411857
529,6,ehux379,none,none,True,ehux379,r1,5015564.801338708,4012451.841070967
530,7,ehux379,none,none,True,ehux379,r1,4727038.423698384,3781630.7389587075
531,8,ehux379,none,none,True,ehux379,r1,1890299.0281139151,1512239.222491132
532,9,ehux379,none,none,True,ehux379,r1,1450190.8078980017,1160152.6463184014
533,10,ehux379,none,none,True,ehux379,r1,537815.373634389,430252.2989075112
534,11,ehux379,none,none,True,ehux379,r1,163351.21781305887,130680.9742504471
535,12,ehux379,none,none,True,ehux379,r1,92010.1486653075,73608.118932246
536,13,ehux379,none,none,True,ehux379,r1,40538.48092950863,32430.784743606906
680,1,ehux379,none,none,False,ehux379,r2,705428.1365584199,564342.509246736
681,2,ehux379,none,none,False,ehux379,r2,1292733.694550205,1034186.9556401641
682,3,ehux379,none,none,False,ehux379,r2,2184343.238461325,1747474.59076906
683,4,ehux379,none,none,False,ehux379,r2,3687413.1205153666,2949930.4964122935
684,5,ehux379,none,none,False,ehux379,r2,5085946.990664275,4068757.5925314203
685,6,ehux379,none,none,False,ehux379,r2,5657516.020020764,4526012.816016612
686,7,ehux379,none,none,False,ehux379,r2,5747188.445946066,4597750.756756852
687,8,ehux379,none,none,False,ehux379,r2,5637538.653060786,4510030.9224486295
688,9,ehux379,none,none,False,ehux379,r2,5121901.991062636,4097521.5928501086
